"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/10/23 11:28 PM,"Justine. ??","1206575767892578305",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667554313886134272"
6/10/23 11:28 PM,"???????????","1376059395990122496",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","????????????????????? https://t.co/BMTm25BWUE",,,0.0,"1667554313508655104"
6/10/23 11:28 PM,"K","1625899822590095361",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @SuperCzyan: SB19 has always been for promoting Ppop and OPM to the world. They did all the sacrifices and investment for this, and yet…",,,3.0,"1667554310811693057"
6/10/23 11:28 PM,"?? patch ??? ??-","1555889145159258112",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667554309217869825"
6/10/23 11:28 PM,"Livig","1506734589091487748",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @chartdataPH: Spotify PH Daily Top OPM Artists (June 9)

#1 @BenAndBenMusic *286th day*
#2 @zacktabudlo 
#3 @SB19Official [+5]
#4 @Adadi…",,,988.0,"1667554297221902337"
6/10/23 11:27 PM,"M O I R A ?? | JoshCullen is WILD TONIGHT! ?????","1052287208",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bianca_cavino17: It's not SB19's fault if their music label, @sonymusicph, wants to protect their rights as artists. Shows shld pay for…",,,250.0,"1667554191773175808"
6/10/23 11:27 PM,"ly?? | ??","1446759891431870469",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @kokur00: 'SUPPORT OPM' MEANS SUPPORTING FILIPINO ARTISTS AND THEIR RIGHTS.",,,15.0,"1667554186077310976"
6/10/23 11:27 PM,"Aira??","106365225",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667554177114046464"
6/10/23 11:27 PM,"Olivines ?? ?? ¹?³?? ? ??","1456577793282945025",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @MonsterVoter19: We are always and forever PROUD of you Boys!!! SB19 truly -BREAKING THE NORMS of the Philippine Music Industry !

Nagsi…",,,26.0,"1667554167442014208"
6/10/23 11:27 PM,"?","1556136224577945601",,"-1","ar","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","??????? ????? ???? ???? ?????? ???? ????? ?????? ???? ???? ??? ?????? ????",,,0.0,"1667554155911606277"
